,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10204,PSA,2015,8,170.12629699707,162.581817626953,1.0,-33572819,0.0,0.0006391016018999114
10205,PSA,2015,12,202.3358306884765,204.44855499267499,1.0,-6313760,0.0,0.00012019043425230837
10206,PSA,2016,3,220.148117065429,227.095916748046,0.0,-9660575,0.0,0.00018389773954041483
10207,PSA,2016,6,202.276641845703,211.215423583984,1.0,5578551,1.0,0.0001061922498697
10208,PSA,2016,9,185.337814331054,179.066787719726,0.0,-6462150,0.0,0.000123016651543
10209,PSA,2017,8,173.6782379150385,183.5240097045895,1.0,401170,1.0,7.636881646790912e-06
10210,PSA,2018,3,174.393760681152,177.70274353027298,0.5,-86176,0.0,1.640465491625591e-06
10211,PSA,2018,8,190.833541870117,186.318161010742,0.0,-21153991,0.0,0.0004026885546543
10212,PSA,2018,12,183.422805786132,185.146026611328,0.0,-3182058,0.0,6.057460762813043e-05
10213,PSA,2019,8,244.99529520670535,236.025095621744,1.0,-20233886,0.0,0.00038517325200027925
10214,PSA,2019,9,234.912872314453,232.842765808105,1.0,-65775406,0.0,0.0012520960424688
10215,PSA,2020,3,181.20406087239533,185.031504313151,1.0,-1248884,0.0,2.377380806667077e-05
10216,PSA,2020,5,178.9444351196285,197.3213043212885,1.0,-9785,0.0,1.8514517175117856e-07
10217,PSA,2020,6,185.605545043945,187.27082824707,0.0,-53848,0.0,1.0250610957841585e-06
10218,PSA,2020,8,190.95198059082,207.361297607421,1.0,-603180,0.0,1.1482163297550583e-05
10219,PSA,2020,9,212.560623168945,227.203720092773,1.0,8468186,1.0,0.00016120453309429535
10220,PSX,2012,6,25.2501277923584,27.8920745849609,1.0,74765,1.0,1.267791909015332e-06
10221,PSX,2012,12,41.0649871826171,38.8454666137695,1.0,-4263376,0.0,7.228450147629757e-05
10222,PSX,2014,1,59.881493886311766,58.6353721618652,1.0,1000277,1.0,1.6959503721161572e-05
10223,PSX,2014,5,66.2715911865234,66.8847045898437,1.0,-3569304,0.5,9.434001918127128e-05
10224,PSX,2014,6,66.3928909301757,64.2511749267578,1.0,550095,1.0,9.327021728773066e-06
10225,PSX,2014,9,66.4462966918945,61.298828125,1.0,-433400,0.0,7.348191419154062e-06
10226,PSX,2014,11,60.606346130371065,54.8237317403157,1.0,371792,1.0,6.303778425568713e-06
10227,PSX,2014,12,52.3006973266601,51.6177062988281,1.0,499450,1.0,8.467886922059503e-06
10228,PSX,2015,5,64.5092391967773,64.5092391967773,1.0,1498217,1.0,2.540226030330075e-05
10229,PSX,2015,8,64.0937728881836,64.8421249389648,1.0,237121072,1.0,0.0040201772461572
10230,PSX,2015,11,74.72056198120116,74.4718475341796,1.0,-7317340,0.0,0.00012406977166167123
10231,PSX,2016,1,64.1583404541015,65.3041305541992,1.0,832032068,1.0,0.014106819051789779
10232,PSX,2016,2,62.244155883789,70.4912185668945,1.0,247362612,1.0,0.0041940314485557
10233,PSX,2016,3,72.7273025512695,73.0930786132812,1.0,-216890,0.0,3.677473097049794e-06
10234,PSX,2016,5,65.0709762573242,66.5626068115234,1.0,158437985,1.0,0.0026863116121659
10235,PSX,2016,6,66.4411010742187,63.063940048217745,1.0,86797704,0.5,0.001881569941142716
